SURNAME,FREQUENCY
MONTGOMERY,"115,953"
OLIVER,"115,900"
JENSEN,"115,679"
HARVEY,"115,662"
WILLIAMSON,"114,959"
GILBERT,"114,940"
DEAN,"114,030"
SIMS,"113,374"
ESPINOZA,"112,154"
HOWELL,"112,041"
LI,"111,786"
WONG,"111,371"
REID,"111,360"
HANSON,"111,144"
LE,"110,967"
MCCOY,"110,744"
GARRETT,"110,697"
BURTON,"110,529"
FULLER,"110,116"
WANG,"109,883"
WEBER,"109,433"
WELCH,"108,987"
ROJAS,"108,421"
LUCAS,"107,690"
MARQUEZ,"107,533"
FIELDS,"107,522"
PARK,"106,696"
YANG,"106,033"
LITTLE,"105,936"
BANKS,"105,833"
PADILLA,"105,365"
DAY,"105,091"
WALSH,"105,079"
BOWMAN,"105,007"
SCHULTZ,"104,888"
LUNA,"104,518"
FOWLER,"104,515"
MEJIA,"104,057"
DAVIDSON,"103,930"
ACOSTA,"103,418"
BREWER,"103,318"
MAY,"103,306"
HOLLAND,"102,538"
JUAREZ,"101,949"
NEWMAN,"101,931"
PEARSON,"101,836"
CURTIS,"101,801"
CORTEZ,"101,694"
DOUGLAS,"101,458"
SCHNEIDER,"101,290"
JOSEPH,"100,959"
BARRETT,"100,104"
NAVARRO,"99,807"
FIGUEROA,"98,468"
KELLER,"98,268"
AVILA,"97,314"
WADE,"97,040"
MOLINA,"96,979"
STANLEY,"96,867"
HOPKINS,"96,810"
CAMPOS,"96,111"
BARNETT,"95,681"
BATES,"95,622"
CHAMBERS,"94,988"
CALDWELL,"93,944"
BECK,"93,786"
LAMBERT,"93,678"
MIRANDA,"93,628"
BYRD,"92,904"
CRAIG,"92,507"
AYALA,"92,463"
LOWE,"92,260"
FRAZIER,"92,152"
POWERS,"91,970"
NEAL,"91,694"
LEONARD,"91,475"
GREGORY,"91,384"
CARRILLO,"91,129"
SUTTON,"90,964"
FLEMING,"90,677"
RHODES,"90,670"
SHELTON,"90,517"
SCHWARTZ,"90,071"
NORRIS,"89,796"
JENNINGS,"89,700"
WATTS,"89,649"
DURAN,"89,401"
WALTERS,"89,376"
COHEN,"89,091"
MCDANIEL,"88,728"
MORAN,"88,615"
PARKS,"88,586"
STEELE,"88,230"
VAUGHN,"88,060"
BECKER,"87,859"
HOLT,"87,531"
DELEON,"87,414"
BARKER,"87,162"
TERRY,"87,000"
HALE,"86,618"
LEON,"86,363"
HAIL,"86,240"
BENSON,"86,081"
HAYNES,"85,974"
HORTON,"85,195"
MILES,"84,942"
LYONS,"84,516"
PHAM,"84,320"
GRAVES,"84,179"
BUSH,"84,018"
THORNTON,"83,967"
WOLFE,"83,928"
WARNER,"83,781"
CABRERA,"83,621"
MCKINNEY,"83,616"
MANN,"83,510"
ZIMMERMAN,"83,265"
DAWSON,"83,182"
LARA,"83,067"
FLETCHER,"83,063"
PAGE,"82,992"
MCCARTHY,"82,950"
LOVE,"82,873"
ROBLES,"82,458"
CERVANTES,"82,161"
SOLIS,"82,146"
ERICKSON,"82,085"
REEVES,"81,978"
CHANG,"81,939"
KLEIN,"81,471"
SALINAS,"81,156"
FUENTES,"81,006"
BALDWIN,"80,742"
DANIEL,"80,526"
SIMON,"80,460"
VELASQUEZ,"80,364"
HARDY,"80,252"
HIGGINS,"79,803"
AGUIRRE,"79,517"
LIN,"79,508"
CUMMINGS,"79,316"
CHANDLER,"79,186"
SHARP,"78,990"
BARBER,"78,848"
BOWEN,"78,822"
OCHOA,"78,677"
DENNIS,"78,482"
ROBBINS,"78,381"
LIU,"78,370"
RAMSEY,"78,350"
FRANCIS,"78,327"
GRIFFITH,"78,260"
PAUL,"78,256"
BLAIR,"78,026"
OCONNOR,"77,923"
CARDENAS,"77,652"
PACHECO,"77,642"
CROSS,"77,557"
CALDERON,"77,085"
QUINN,"76,986"
MOSS,"76,908"
SWANSON,"76,897"
CHAN,"76,664"
RIVAS,"76,205"
KHAN,"76,171"
RODGERS,"76,095"
SERRANO,"75,996"
FITZGERALD,"75,356"
ROSALES,"75,185"
STEVENSON,"75,169"
CHRISTENSEN,"75,143"
MANNING,"74,949"
GILL,"74,948"
CURRY,"74,919"
MCLAUGHLIN,"74,816"
HARMON,"74,737"
MCGEE,"74,542"
GROSS,"74,503"
DOYLE,"74,458"
GARNER,"74,324"
NEWTON,"74,092"
BURGESS,"73,931"
REESE,"73,919"
WALTON,"73,854"
BLAKE,"73,797"
TRUJILLO,"73,664"
ADKINS,"73,599"
BRADY,"73,145"
GOODMAN,"73,136"
ROMAN,"72,918"
WEBSTER,"72,625"
GOODWIN,"72,451"
FISCHER,"72,357"
HUANG,"72,328"
POTTER,"72,175"
DELACRUZ,"72,109"
MONTOYA,"71,844"
TODD,"71,759"
WU,"71,721"
HINES,"71,717"
MULLINS,"71,646"
CASTANEDA,"71,368"
MALONE,"71,286"
CANNON,"71,085"
TATE,"71,058"
MACK,"71,056"
SHERMAN,"70,502"
HUBBARD,"70,362"
HODGES,"70,223"
ZHANG,"70,125"
GUERRA,"70,071"
WOLF,"70,031"
VALENCIA,"70,000"
SAUNDERS,"69,943"
FRANCO,"69,943"
